league_id,season,fixture_id,fixture_date,fixture_status,round,home_team_id,home_team_name,away_team_id,away_team_name,team_id,team_name,opponent_team_id,opponent_team_name,is_home,player_id,player_name,number,position,rating,captain,substitute,minutes,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,36878,Marco Bizot,40,G,5.9,False,False,90,,,,,5,0,,31,,28,,,,,,,,,,,0,0,,,0,0,0
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,22247,Kenny Lala,27,D,6.3,False,False,90,,,,,0,0,,53,,47,3,1,4,5,3,,,1,,1,1,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,20546,Brendan Chardonnet,5,D,6.2,True,False,90,,1,,,0,0,,55,,50,4,,,9,5,,,1,1,2,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,85914,Julien Le Cardinal,25,D,6.3,False,False,90,,,,,0,0,,72,,65,2,,,4,2,,,1,,1,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,1901,Jordan Amavi,23,D,5.9,False,False,84,,,,,0,0,,41,,31,7,,,13,8,,,2,1,2,1,0,,1,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,24147,Mahdi Camara,45,M,7.7,False,False,90,,1,1,1,0,0,,59,1,54,7,,1,16,11,5,2,,2,,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,22258,Jonas Martin,28,M,5.9,False,False,70,,,,,0,0,,44,,40,,,1,3,1,,,1,1,1,1,0,,1,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,20780,Mathias Pereira Lage,26,M,6.3,False,False,70,,2,1,,0,0,,16,,13,1,,1,7,3,1,,,,1,1,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,2214,Romain Del Castillo,10,F,6.9,False,False,90,,2,2,,0,1,,49,4,37,1,,,11,4,7,2,,1,1,0,0,,,0,1,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,22264,Ludovic Ajorque,19,F,7.0,False,False,64,,1,1,,0,0,,14,,11,1,,,7,3,1,,1,1,,0,0,1,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,85772,Jérémy Le Douaron,22,F,6.0,False,False,90,2,1,1,,0,0,,12,,9,1,,,9,2,1,,1,,2,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,84082,Romain Faivre,21,M,6.5,False,True,26,,,,,0,0,,20,,16,,,,4,2,3,1,,,,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,129680,Hianga'a M'Bock,18,M,6.6,False,True,20,,1,1,,0,0,,17,,14,,,1,2,1,,,,,1,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,329209,Axel Camblan,11,M,6.6,False,True,20,,,,,0,0,,4,,3,1,,,1,1,,,,,,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,422595,Luc Zogbe,12,D,6.9,False,True,13,,,,,0,0,,6,1,5,,,1,1,1,,,,1,,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,21248,Grégoire Coudert,30,G,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,36540,Achraf Dari,4,D,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,449659,Ibrahim Kanté,32,F,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,106,Stade Brestois 29,81,Marseille,True,367853,Léo Botz,33,F,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,47296,Gerónimo Rulli,1,G,8.3,False,False,90,,,,,1,0,6,42,,37,,,,,,,,,,,0,0,,,0,0,1
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,2973,Michael Murillo,62,D,6.3,False,False,90,,,,,0,0,,38,,31,1,,1,10,5,2,1,1,1,1,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,6,Leonardo Balerdi,5,D,7.0,True,False,90,,,,,0,0,,63,,59,2,,2,11,7,3,3,,,1,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,51295,Derek Cornelius,13,D,6.5,False,False,90,,,,,0,0,,62,,51,3,,,7,6,,,,2,1,1,0,,1,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,30525,Pol Lirola,29,D,6.3,False,False,71,,1,,,0,0,,20,,15,2,,,5,3,1,,,1,1,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,2735,Pierre-Emile Højbjerg,23,M,7.2,False,False,90,,,,,0,0,,96,,87,5,,5,10,6,1,,2,1,,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,272460,Quentin Merlin,3,M,6.2,False,False,90,,,,,0,0,,54,,45,1,1,2,7,1,1,,2,,1,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,897,Mason Greenwood,10,M,8.3,False,False,90,,2,2,2,0,0,,30,,26,1,,,9,3,5,,,2,,0,0,1,,1,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,412,Amine Harit,11,M,7.9,False,False,88,,,,,0,2,,35,3,33,1,,1,11,7,3,2,,3,,0,0,1,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,10077,Luís Henrique,44,M,8.5,False,False,88,,2,2,2,0,0,,28,1,23,1,,,8,3,5,2,,,,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,162707,Elye Wahi,9,F,6.9,False,False,71,,1,1,1,0,0,,9,,5,,,,5,2,,,,1,1,0,0,,,1,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,193501,Bamo Meïté,18,M,6.3,False,True,19,,,,,0,0,,14,,12,,,,3,1,1,,,1,1,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,102447,Faris Pemi Moumbagna,14,F,6.5,False,True,8,,,,,0,0,,,,,,,,2,,,,,,1,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,449660,Enzo Sternal,22,F,6.2,False,True,11,,,,,0,0,,3,,3,,,,2,,1,,,,,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,21102,Valentin Rongier,21,M,6.3,False,True,9,,,,,0,0,,17,,17,,,,1,,,,,,,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,449158,Keyliane Abdallah,48,F,6.6,False,True,9,,,,,0,0,,2,,2,1,,,1,1,,,,,,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,36827,Jeffrey de Lange,12,G,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,322879,Roggerio Nyakossi,46,D,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,392683,Alexi Koum,43,D,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
61,2024,1213747,2024-08-17T15:00:00+00:00,FT,Regular Season - 1,106,Stade Brestois 29,81,Marseille,81,Marseille,106,Stade Brestois 29,False,393926,Gaël Lafont,47,M,,False,True,,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,
61,2024,1213748,2024-08-18T15:00:00+00:00,FT,Regular Season - 1,82,Montpellier,95,Strasbourg,82,Montpellier,95,Strasbourg,True,21566,Benjamin Lecomte,40,G,6.7,False,False,90,,,,,1,0,3,39,,20,,,,,,,,,,,0,0,,,0,0,0
61,2024,1213748,2024-08-18T15:00:00+00:00,FT,Regular Season - 1,82,Montpellier,95,Strasbourg,82,Montpellier,95,Strasbourg,True,179399,Enzo Tchato Mbiayi,29,D,6.3,False,False,90,,,,,0,0,,25,1,21,2,,,8,4,,,3,2,1,0,0,,,0,0,
61,2024,1213748,2024-08-18T15:00:00+00:00,FT,Regular Season - 1,82,Montpellier,95,Strasbourg,82,Montpellier,95,Strasbourg,True,999,Bećir Omeragić,27,D,6.6,False,False,90,,,,,0,0,,35,,32,3,1,,8,4,,,1,,1,0,0,,,0,0,
61,2024,1213748,2024-08-18T15:00:00+00:00,FT,Regular Season - 1,82,Montpellier,95,Strasbourg,82,Montpellier,95,Strasbourg,True,20661,Modibo Sagnan,5,D,6.5,False,False,90,,,,,0,0,,48,,40,4,,1,14,6,,,,1,3,1,0,,,0,0,
61,2024,1213748,2024-08-18T15:00:00+00:00,FT,Regular Season - 1,82,Montpellier,95,Strasbourg,82,Montpellier,95,Strasbourg,True,3336,Falaye Sacko,77,D,6.3,False,False,90,,,,,0,0,,20,,18,2,,,9,2,2,,1,,3,0,0,,,0,0,
61,2024,1213748,2024-08-18T15:00:00+00:00,FT,Regular Season - 1,82,Montpellier,95,Strasbourg,82,Montpellier,95,Strasbourg,True,128287,Joris Chotard,13,M,6.9,False,False,90,,,,,0,0,,31,,26,3,,,9,4,1,,1,,,0,0,,,0,0,
61,2024,1213748,2024-08-18T15:00:00+00:00,FT,Regular Season - 1,82,Montpellier,95,Strasbourg,82,Montpellier,95,Strasbourg,True,21439,Jordan Ferri,12,M,7.2,False,False,90,,,,,0,0,,43,1,34,5,,1,11,7,1,,1,2,1,1,0,,,0,0,
61,2024,1213748,2024-08-18T15:00:00+00:00,FT,Regular Season - 1,82,Montpellier,95,Strasbourg,82,Montpellier,95,Strasbourg,True,22097,Arnaud Nordin,7,M,6.6,False,False,88,,1,1,,0,0,,9,,7,1,,,13,6,2,1,1,4,1,1,0,,,0,0,
61,2024,1213748,2024-08-18T15:00:00+00:00,FT,Regular Season - 1,82,Montpellier,95,Strasbourg,82,Montpellier,95,Strasbourg,True,21443,Teji Savanier,11,M,7.5,True,False,90,,2,1,1,0,0,,38,2,30,1,,,14,4,4,1,1,2,3,0,0,,,1,0,
