player_id,player_name,firstname,lastname,age,nationality,height,weight,injured,team_id,team_name,league_id,league_name,season,appearances,lineups,minutes,position,rating,captain,sub_in,sub_out,sub_bench,shots_total,shots_on,goals_total,goals_assists,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
404,B. Oczipka,Bastian,Oczipka,34,Germany,185 cm,85 kg,False,169,Eintracht Frankfurt,78,Bundesliga,2012,33,33,2890,Defender,,False,0,2,1,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
410,D. Caligiuri,Daniel,Caligiuri,35,Germany,182 cm,80 kg,False,160,SC Freiburg,78,Bundesliga,2012,29,27,2447,Midfielder,,False,2,4,2,,,5,,,,,,,,,,,,,,,,,10,0,0,,,,,
2754,R. Kruse,Robbie Thomas,Kruse,35,Australia,179 cm,70 kg,False,158,Fortuna Düsseldorf,78,Bundesliga,2012,30,29,2560,Attacker,,False,1,8,1,,,4,,,,,,,,,,,,,,,,,9,0,0,,,,,
12918,F. Ohandza,Franck,Ohandza Zoa,32,Cameroon,179 cm,83 kg,False,178,SpVgg Greuther Fürth,78,Bundesliga,2012,0,0,0,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
24960,J. van den Bergh,Johannes,van den Bergh,37,Germany,183 cm,75 kg,False,158,Fortuna Düsseldorf,78,Bundesliga,2012,33,33,2941,Defender,,False,0,3,0,,,0,,,,,,,,,,,,,,,,,3,0,0,,,,,
25029,S. Schipplock,Sven,Schipplock,35,Germany,186 cm,84 kg,False,167,1899 Hoffenheim,78,Bundesliga,2012,16,7,564,Attacker,,False,9,6,16,,,5,,,,,,,,,,,,,,,,,4,0,0,,,,,
25236,A. Ignjovski,Aleksandar,Ignjovski,32,Serbia,177 cm,71 kg,False,162,Werder Bremen,78,Bundesliga,2012,20,17,1547,Defender,,False,3,3,15,,,1,,,,,,,,,,,,,,,,,2,0,0,,,,,
25298,A. Hahn,André,Hahn,33,Germany,185 cm,80 kg,False,170,FC Augsburg,78,Bundesliga,2012,16,12,1111,Midfielder,,False,4,1,5,,,0,,,,,,,,,,,,,,,,,3,0,0,,,,,
25447,R. Wolf,Raphael,Wolf,35,Germany,190 cm,86 kg,False,162,Werder Bremen,78,Bundesliga,2012,0,0,0,Goalkeeper,,False,0,0,14,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
25816,C. Hemlein,Christoph,Hemlein,33,Germany,180 cm,77 kg,False,172,VfB Stuttgart,78,Bundesliga,2012,0,0,0,Midfielder,,False,0,0,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
26137,S. Lex,Stefan,Lex,34,Germany,178 cm,75 kg,False,178,SpVgg Greuther Fürth,78,Bundesliga,2012,0,0,0,Attacker,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
26246,M. Frantz,Mike,Frantz,37,Germany,182 cm,81 kg,False,171,1. FC Nürnberg,78,Bundesliga,2012,27,19,1566,Midfielder,,False,8,14,11,,,1,,,,,,,,,,,,,,,,,3,0,0,,,,,
26258,N. Petersen,Nils,Petersen,35,Germany,188 cm,84 kg,False,162,Werder Bremen,78,Bundesliga,2012,34,30,2741,Attacker,,False,4,8,4,,,11,,,,,,,,,,,,,,,,,3,0,0,,,,,
26536,J. Al-Hazaimeh,Jeron,Al-Hazaimeh,31,Germany,194 cm,78 kg,False,158,Fortuna Düsseldorf,78,Bundesliga,2012,0,0,0,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
26601,N. Brandenburger,Nico,Brandenburger,28,Germany,187 cm,78 kg,False,163,Borussia Mönchengladbach,78,Bundesliga,2012,0,0,0,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
26630,P. Schorr,Patrick,Schorr,27,Germany,184 cm,78 kg,False,167,1899 Hoffenheim,78,Bundesliga,2012,1,0,23,Defender,,False,1,0,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
83660,Dawda Bah,Dawda,Bah,34,Gambia,185 cm,75 kg,False,170,FC Augsburg,78,Bundesliga,2012,0,0,0,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
87792,L. Raeder,Lukas,Raeder,30,Germany,194 cm,88 kg,False,157,Bayern München,78,Bundesliga,2012,0,0,0,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
114253,Mazin Al Huthayfi,Mazin Ahmed,Al Huthayfi,36,Saudi Arabia,182 cm,75 kg,False,158,Fortuna Düsseldorf,78,Bundesliga,2012,0,0,0,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
373985,A. Hien,Alexander,Hien,28,Germany,183 cm,72 kg,False,169,Eintracht Frankfurt,78,Bundesliga,2012,0,0,0,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
416,S. Rudy,Sebastian,Rudy,33,Germany,180 cm,74 kg,False,167,1899 Hoffenheim,78,Bundesliga,2012,23,21,1764,Midfielder,,False,2,7,2,,,0,,,,,,,,,,,,,,,,,7,0,0,,,,,
